Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
estuary_05_27_19_1200,1,5/27/2019 12:00,147,71.27027624,77.23270718,47.17171271,45.22897451,43.61574122,23.30177975,195.6746961,111.0423398,0.39393606,0.028833323,36.02342541,23.4435922,0.344964059,0.040539107,0.261099881,0.057126507,mixed
estuary_05_27_19_1200,2,5/27/2019 12:00,147,134.307156,138.6300917,78.50201835,26.65061864,24.90315407,22.81789009,351.4392661,73.68083929,0.397367268,0.017140504,64.45100917,9.567073477,0.383353745,0.012007042,0.219278987,0.023165561,phragmites
estuary_05_28_19_1200,1,5/28/2019 12:00,148,92.36785645,98.20889409,58.23307977,23.12536962,21.44015651,18.79743172,248.8098303,62.56654294,0.399291547,0.024287648,45.81685196,10.30571536,0.371317577,0.009958951,0.229390876,0.026516627,mixed
estuary_05_28_19_1200,2,5/28/2019 12:00,148,107.3625503,116.141046,75.80726563,32.68880367,31.75748948,28.24404283,299.3108619,92.34079487,0.394316758,0.025257684,49.112276,7.923860376,0.359553906,0.011380888,0.246129336,0.029589802,phragmites
estuary_05_29_19_1200,1,5/29/2019 12:00,149,72.72011888,78.59930224,44.47292932,19.44604965,18.69578121,15.4504146,195.7923504,52.93356378,0.406067203,0.02350416,40.00555627,8.682778274,0.371705255,0.009811959,0.222227542,0.027433998,mixed
estuary_05_29_19_1200,2,5/29/2019 12:00,149,94.67719142,100.8101089,67.08014514,30.95119255,28.74694496,26.81272243,262.5674454,86.16929959,0.391619107,0.028420673,39.86288115,6.318969575,0.361188625,0.013251434,0.247192268,0.031908516,phragmites
estuary_05_30_19_1200,1,5/30/2019 12:00,150,113.3708778,118.1790737,66.6106935,20.55009962,18.42510462,17.25160613,298.160645,55.07490864,0.399111737,0.021801477,56.37657614,12.97556422,0.380690487,0.009299767,0.220197776,0.023562865,mixed
estuary_05_30_19_1200,2,5/30/2019 12:00,150,82.21238316,90.34900555,56.25630754,32.2798595,31.31844749,28.04332947,228.8176963,91.22937919,0.406253323,0.037593601,42.2293204,8.772283676,0.360899695,0.015359867,0.232846982,0.042693673,phragmites
estuary_05_31_19_1200,1,5/31/2019 12:00,151,31.70536148,38.23932557,24.35953421,9.969487132,10.60982272,7.002939892,94.30422125,26.81501237,0.406756093,0.027352404,20.41375546,8.57077407,0.333227177,0.015239847,0.26001673,0.026672115,mixed
estuary_05_31_19_1200,2,5/31/2019 12:00,151,31.18119757,37.76546307,27.59816582,15.01797353,15.95780916,12.74744422,96.54482645,43.42636282,0.396101307,0.029913217,16.75156276,7.159589658,0.319035285,0.018251445,0.284863408,0.021996995,phragmites
estuary_06_04_19_1200,1,6/4/2019 12:00,155,91.52440671,99.18001158,63.07100135,19.7096576,20.80150557,16.46559324,253.7754196,55.29737611,0.392221197,0.023468239,43.76461509,17.68598491,0.360977321,0.008985563,0.246801482,0.021624616,mixed
estuary_06_04_19_1200,2,6/4/2019 12:00,155,70.91230592,81.66589994,55.10293272,28.86906085,29.84205736,25.59234318,207.6811386,83.75876168,0.401845791,0.035440614,37.31656124,11.39466277,0.340659772,0.01459211,0.257494437,0.034626471,phragmites
estuary_06_05_19_1200,1,6/5/2019 12:00,156,40.6815064,46.15598206,25.42072286,12.25977261,11.78619779,8.690066857,112.2582113,32.27091035,0.415216824,0.022724137,26.20973486,6.207305427,0.360796022,0.012704257,0.223987155,0.023205876,mixed
estuary_06_05_19_1200,2,6/5/2019 12:00,156,40.88677966,46.60903955,27.41875706,11.44998832,11.80398259,9.337927522,114.9145763,32.31068001,0.408963896,0.018698303,24.91254237,5.119440351,0.356197319,0.010071315,0.234838785,0.022042278,phragmites
estuary_06_06_19_1200,1,6/6/2019 12:00,157,75.21975136,82.73874978,44.12432148,21.01387754,21.58621461,15.01490055,202.0828226,56.88150929,0.412872871,0.022344277,46.13342672,11.68986515,0.37252162,0.008505199,0.214605509,0.02637712,mixed
estuary_06_06_19_1200,2,6/6/2019 12:00,157,75.79220047,84.85085811,51.26283136,29.56394766,27.9081418,25.53452521,211.9058899,82.60443885,0.412392765,0.038506053,42.64668439,7.924552118,0.358239146,0.014832368,0.22936809,0.041510981,phragmites
estuary_06_07_19_1200,1,6/7/2019 12:00,158,75.32762535,84.75193945,56.48429518,17.21765854,17.81893877,13.1902887,216.56386,47.75703461,0.392360463,0.013046085,37.69195837,8.868564427,0.34716677,0.006583117,0.260472767,0.014117811,mixed
estuary_06_07_19_1200,2,6/7/2019 12:00,158,64.87289803,73.53864043,50.38872987,20.06844088,20.33690719,16.93691187,188.8002683,56.984951,0.392875811,0.016782499,31.81565295,7.752794906,0.343021949,0.008701227,0.26410224,0.016927018,phragmites
estuary_06_11_19_1200,1,6/11/2019 12:00,162,69.99557522,78.941336,42.70189837,38.41652509,40.2695257,21.22465629,191.6388096,98.59643256,0.412046601,0.037212652,45.1851984,25.20437114,0.349881066,0.044286976,0.238072333,0.067603043,mixed
estuary_06_11_19_1200,2,6/11/2019 12:00,162,84.11107284,91.86453131,52.51552724,39.90094946,37.31837785,32.98045646,228.4911314,109.348077,0.421771385,0.055389192,47.10246255,12.59828434,0.369806314,0.025500712,0.208422301,0.060431101,phragmites
estuary_06_13_19_1200,1,6/13/2019 12:00,164,36.49568865,45.74155209,29.05732929,11.27749859,12.3857048,8.734652167,111.29457,31.96747204,0.413934449,0.022362508,25.93008623,7.677245552,0.325082231,0.014512025,0.26098332,0.020370368,mixed
estuary_06_13_19_1200,2,6/13/2019 12:00,164,36.48036759,46.93817878,31.23141186,5.606135304,5.728779749,5.558513531,114.6499582,16.6117965,0.411090214,0.0153926,26.16457811,3.13606944,0.317888378,0.01178199,0.271021407,0.011418335,phragmites
estuary_06_17_19_1200,1,6/17/2019 12:00,168,101.2301018,113.3070539,58.07544323,22.9344401,25.15860675,15.98783631,272.612599,63.07712302,0.416917492,0.015493635,67.30856281,15.90324039,0.371795248,0.006750367,0.21128726,0.020149174,mixed
estuary_06_17_19_1200,2,6/17/2019 12:00,168,105.0017928,115.7943867,73.34272997,39.35805513,37.6666893,34.70748945,294.1389095,111.2602655,0.405461472,0.039091355,53.24425074,9.795320983,0.358019118,0.015394874,0.23651941,0.042325869,phragmites
estuary_06_18_19_1200,1,6/18/2019 12:00,169,82.06641124,92.30747126,55.39335888,21.04997162,22.056147,15.8733548,229.7672414,58.43020257,0.403441463,0.015133217,47.15517241,11.37947109,0.357021419,0.006141369,0.239537118,0.015362084,mixed
estuary_06_18_19_1200,2,6/18/2019 12:00,169,88.89927822,101.2942913,68.84776903,20.39120255,20.92398781,18.04531877,259.0413386,59.07556305,0.393249982,0.013289084,44.84153543,7.219027788,0.343255949,0.007382789,0.263494069,0.013063653,phragmites
estuary_06_20_19_1200,1,6/20/2019 12:00,171,102.1429719,113.8525531,60.07297762,20.77887741,20.19751429,17.38536864,276.0685026,57.64350934,0.415529099,0.019822153,65.48915663,10.18872705,0.370599973,0.008768213,0.213870928,0.022594921,mixed
estuary_06_20_19_1200,2,6/20/2019 12:00,171,85.20862588,97.35473086,59.16181879,23.05795967,23.24829357,19.65346676,241.7251755,65.4890021,0.407259817,0.021115318,50.33901705,8.687673132,0.352426526,0.008121455,0.240313657,0.02240251,phragmites
