"","X.1","X","Filename","ROI","DOY","Red_Avg","Green_Avg","Blue_Avg","Red_SD","Green_SD","Blue_SD","Brightness_Avg","Brightness_SD","Green_Index","Green_Index_SD","Greenness_Excess_index","Greenness_Excess_index_SD","Red_index","Red_Index_SD","Blue_Index","Blue_Index_SD","plant","Date2","location1","location2","plant2","Major_Plant_1","Major_Plant_2","Minor_Plant_1","Minor_Plant_2"
"54",54,54,"centermarsh_12_22_17_1200",2,356,107.020277236797,80.2984305189598,57.0172413793103,5.89296959705649,5.84296993854244,6.2028668916645,244.335949135067,17.2300805277074,0.328597573542467,0.00328472871258744,-3.44065757818765,2.3301808659947,0.438614127743285,0.0118770316283131,0.232788298714248,0.0112699181361055,"c3","2017-12-22 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"55",55,55,"centermarsh_12_27_17_1200",1,361,57.2620516987679,42.236992950168,31.4657061911141,9.72414838120348,8.35641894156213,7.1520178612903,130.96475084005,24.929009470048,0.322041433090378,0.0056480461092958,-4.25377198954604,1.91191573658932,0.4393109176919,0.0162339725131955,0.238647649217723,0.0148490794587819,"c3","2017-12-27 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"56",56,56,"centermarsh_12_31_17_1200",1,365,169.496100443131,128.38129985229,84.5336189069424,22.0994571882158,20.3554672993898,18.3393198364362,382.411019202363,60.3108108956728,0.335691397017611,0.00332831982417338,2.73288035450517,3.72668366215475,0.445513470159701,0.016990623889755,0.218795132822688,0.0170779767207074,"c3","2017-12-31 12:00:00","centermarsh","centermarsh","scheonoplectus","scheonoplectus","","",""
"57",57,57,"centerright_07_15_17_1200",1,196,47.7790690779721,46.9504298843759,26.4500148235992,12.6843927348114,11.3500953648822,10.8078863435975,121.179513785947,34.2687043363284,0.392038940448368,0.023265427751432,19.6717758671805,5.18628984713865,0.396251095204342,0.0219689637094988,0.21170996434729,0.0320312644730214,"c3","2017-07-15 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"58",58,58,"centerright_07_15_17_1200",2,196,50.7425136998409,48.3865299628779,27.2092982146014,11.5861003766301,10.3041689087411,10.1329357972863,126.33834187732,31.2964157163936,0.386423041917563,0.0213114023594554,18.8212480113134,5.52342381564124,0.403826077357459,0.0236273027915157,0.209750880724978,0.0313209730892709,"c3","2017-07-15 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"59",59,59,"centerright_08_01_17_1200",1,213,61.8305176186147,53.4769963933542,36.8809906786688,13.220059025777,12.5282665192331,11.0353507855455,152.188504690638,35.6372047641316,0.351733510169769,0.0176697791789888,8.24248448942483,7.77945488223745,0.408343685350735,0.0218084359429352,0.239922804479496,0.0264004818204804,"c3","2017-08-01 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"60",60,60,"centerright_08_10_17_1200",1,222,81.8096944400693,76.9174673176878,50.2166482910695,11.3167139879251,10.2676852199248,8.79776502678551,208.943810048827,29.6093544927385,0.368632609819057,0.0101491122173324,21.8085919042369,5.7975036050579,0.39185293813582,0.0100262947282523,0.239514452045123,0.0134217826147131,"c3","2017-08-10 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"61",61,61,"centerright_08_15_17_1200",1,227,40.0187055165857,42.9067807497623,22.1864898892572,7.89530519636099,6.74868357232767,6.68954399636319,105.111976155605,20.536232163901,0.412039555938447,0.0296787993862342,23.6083660936817,6.36313269794354,0.381003939625536,0.020867519061564,0.206956504436018,0.0275461316237522,"c3","2017-08-15 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"62",62,62,"centerright_08_26_17_1200",1,238,64.8801810815687,57.7526038676661,37.5201666475306,6.85280413375682,5.93917921556101,5.91738128659933,160.152951596765,18.3777074020862,0.361121229049313,0.00827505673245617,13.1048600062329,3.42636304993524,0.405561752349462,0.00862542940446645,0.233317018601226,0.0112602445339534,"c3","2017-08-26 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"63",63,63,"centerright_08_28_17_1200",1,240,93.527986693665,88.4271767428406,56.5606739947932,11.0772228043614,10.6481077709497,9.99973997824368,238.515837431299,30.944528803138,0.371113674665641,0.00859900066925906,26.765692797223,5.78888266905507,0.392550624925012,0.00948048879735829,0.236335700409347,0.0126439164301444,"iva","2017-08-28 12:00:00","centerright","centerright","iva","iva","","",""
"64",64,64,"centerright_08_28_17_1200",2,240,76.6194107970689,67.092866756393,45.8347540002991,6.57018074137656,5.80088043675282,5.81359155084543,189.547031553761,17.7632878162722,0.354334735927845,0.00860877505410284,11.731568715418,4.25975970843226,0.404568198010099,0.00755085519442253,0.241097066062056,0.0101559123817542,"c3","2017-08-28 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"65",65,65,"centerright_09_06_17_1200",1,249,69.0540303447176,58.8903044440457,34.6952568933549,10.70944589649,9.36036226565268,9.39709967730185,162.639591682118,28.8773726844929,0.363554261398913,0.0146667947263721,14.0313216500189,5.55614668833325,0.426576995395283,0.0172549187267072,0.209868743205804,0.0240815178254112,"c3","2017-09-06 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"66",66,66,"centerright_09_11_17_1200",1,254,104.704399959354,90.2972936354707,58.6943851686256,13.325473356303,11.9603306619802,11.7436784133886,253.69607876345,36.655504281493,0.356658682302633,0.0082237579129659,17.195802142962,4.79320624568606,0.413877607682367,0.0107842462317163,0.229463710015001,0.0157736750627921,"c3","2017-09-11 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"67",67,67,"centerright_09_21_17_1200",1,264,88.126669436695,64.6801804475574,38.535228824123,18.0322499350321,16.7848627203532,16.6481684465805,191.342078708375,50.9545949526514,0.338967582522649,0.0149701239696285,2.69846263429691,7.51872169704595,0.468634711487202,0.0359360635929092,0.192397705990149,0.0384793773013827,"c3","2017-09-21 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"68",68,68,"centerright_09_21_17_1200",2,264,65.3725976026251,47.9070514966852,31.0889305564856,11.2807215641303,11.0736006260339,10.972855423083,144.368579655796,33.0886544029703,0.331858006553542,0.00915403885046569,-0.647425165740307,3.70061185398672,0.458745256678851,0.029281408367301,0.209396736767607,0.0304515676039479,"c3","2017-09-21 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"69",69,69,"centerright_09_22_17_1200",1,265,67.3559836666318,53.729975918752,37.9735315673751,6.31240595478792,5.90384313207194,5.72239389135593,159.059491152759,17.6088077111826,0.337945837126033,0.0079390755112275,2.13043660349702,3.68909549973503,0.424327239368041,0.0116892393590863,0.237726923505926,0.0103653861541204,"c3","2017-09-22 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"70",70,70,"centerright_10_08_17_1200",1,281,109.78215343393,83.0527076575941,59.7326893244958,10.7758358318829,10.2198244591175,10.5807150126395,252.56755041602,31.4164779090273,0.32891749988978,0.00351078411567827,-3.40942744323791,2.6264067025728,0.436245205779922,0.0137362500502459,0.234837294330298,0.0143954137891019,"c3","2017-10-08 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"71",71,71,"centerright_10_16_17_1200",1,289,84.5999580712788,61.7749056603774,46.1080503144654,7.23187200827018,7.2489060964882,7.26471886193568,192.482914046122,21.4972267753189,0.320768188776924,0.00554097671055426,-7.15819706498952,3.02553562253294,0.440922265647889,0.0146164096545423,0.238309545575187,0.0122146017312162,"c3","2017-10-16 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"72",72,72,"centerright_10_18_17_1200",1,291,70.399440582229,51.8393982185531,45.7015261785792,8.44671059161392,7.99709062504687,8.52328270383864,167.940364979361,24.7070394453868,0.308455653763389,0.00557212023781862,-12.4221703237019,2.93251611517551,0.4207472542783,0.0123086913054619,0.270797091958311,0.0128683572675127,"c3","2017-10-18 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"73",73,73,"centerright_11_09_17_1200",1,313,98.8005752401934,78.9642331150684,54.710119739714,28.7308415055362,26.5948680574189,24.8126681468766,232.474928094976,79.3169508172117,0.340160897441567,0.00961228028746169,4.41777125022948,5.29328540284511,0.433110378567845,0.0349098605872147,0.226728723990588,0.0362875487805471,"c3","2017-11-09 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"74",74,74,"centerright_11_09_17_1200",2,313,148.010877862595,122.364074427481,100.881679389313,12.1457219214324,11.4770274826701,11.1911731831733,371.256631679389,34.4189647673367,0.329565710261334,0.00219379358865357,-4.16440839694657,2.36833695399834,0.399135040571077,0.00801249072121721,0.271299249167589,0.00721704188965384,"c3","2017-11-09 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"75",75,75,"centerright_11_15_17_1200",1,319,101.65606696343,76.6232348618773,62.093980958872,14.0331918297493,14.0318740053162,13.9757755945404,240.373282784179,41.8675828294951,0.31824148433451,0.00500970130980277,-10.5035781985474,2.63748545291381,0.425894391668735,0.0190838023030441,0.255864123996755,0.0157049760460421,"c3","2017-11-15 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"76",76,76,"centerright_11_22_17_1200",1,326,61.2903286260762,52.4000727585409,53.1546008753073,34.0852967021946,25.6402380119285,17.018303801653,166.845002259924,76.0612166880574,0.311860629144682,0.00796875629970046,-9.64478398430179,3.33542176627935,0.359988318080338,0.0263667104227256,0.328151052774979,0.029469673114069,"c3","2017-11-22 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
"77",77,77,"centerright_11_24_17_1200",1,328,160.867983040944,118.412785210265,84.3394957227824,30.1373875808689,28.8185407822687,28.3006781311776,363.620263973992,86.6571053848992,0.325150891912354,0.00526346555433164,-8.38190834319615,4.24075528663695,0.448987140185652,0.0307100900913009,0.225861967901994,0.0289443193405451,"c3","2017-11-24 12:00:00","centerright","centerright","scheonoplectus","scheonoplectus","","",""
